@Buff.Slow,减速
@Buff.Poison,中毒
@Buff.Armor,护盾
@Buff.FireSpeed,攻速
@Buff.Range,射程
@Buff.Slow_Desc,攻击速度-{0}%，移动速度-{0}%
@Buff.Poison_Desc,每秒失去{0}点生命值
@Buff.Armor_Desc,受伤减免{0}%
@Buff.FireSpeed_Desc,攻速+{0}%
@Buff.Range_Desc,射程+{0}%
@Chip.Ban,被禁用
@Chip.FireSpeed,攻速芯片
@Chip.FireSpeedZ,极速芯片
@Chip.Damage,火力芯片
@Chip.DamageZ,重型芯片
@Chip.Strength,血量芯片
@Chip.Range,射程芯片
@Chip.RangeZ,鹰眼芯片
@Chip.Enlarge,放大芯片
@Chip.Pierce,穿透芯片
@Chip.Blossom,散射芯片
@Chip.Frost,霜冻芯片
@Chip.Poison,毒液芯片
@Chip.Split,分裂芯片
@Chip.Repair,修复芯片
@Chip.Purify,精炼芯片
@Chip.Value,价值芯片
@Chip.Geming,钻石芯片
@Chip.Cheap,折扣芯片
@Chip.FreeOnce,礼包芯片
@Chip.Double,双发芯片
@Chip.Chain,连锁芯片
@Chip.Fatal,破甲芯片
@Chip.Reflect,反射芯片
@Chip.Heat,爆裂芯片
@Chip.AllPower,全能芯片
@Chip.Explosion,自爆芯片
@Chip.StrongKiller,挑战芯片
@Chip.WeakKiller,收割芯片
@Chip.SickKiller,恶意芯片
@Chip.RangeKiller,狙击芯片
@Chip.RangeArmor,拦截芯片
@Chip.MeleeArmor,格挡芯片
@Chip.Fury,狂怒芯片
@Chip.FireSpeedRing,群体攻速
@Chip.RangeRing,群体射程
@Chip.RepairRing,群体修复
@Chip.ArmorRing,群体护甲
@Chip.Electricity,雷云芯片
@Chip.Reborn,重生芯片
@Chip.Sacrifice,牺牲芯片
@Chip.Clear,清晰芯片
@Chip.SunFlame,日炎芯片
@Chip.GlowUp,成长芯片
@Chip.Teleport,传送芯片
@Chip.AntiAir,防空芯片
@Chip.Crit,暴击芯片
@Chip.BountyChip,赏金芯片
@Chip.Oil,燃油芯片
@Chip.Stun,眩晕芯片
@Chip.Union,联合芯片
@Chip.Lens,增能光幕
@Chip.Ejection,高抛芯片
@Chip.Cheer,鼓舞芯片
@Chip.KnowledgeCheap,成本下降
@Chip.Swallow,吞噬
@Chip.Bounty,赏金
@Chip.DamageTraining,火力训练
@Chip.Execute,处决
@Chip.Revenge,复仇
@Chip.Lucky,幸运
@Chip.Drain,吸血
@Chip.ManaDrain,汲魔
@Chip.Stolen,妙手空空
@Chip.LearnBlizzard,习得暴雪术
@Chip.LearnFinalExp,习得终极爆炸
@Chip.Expert,专业
@Chip.Patch,升级补丁
@Chip.Nanometre,纳米科技
@Chip.Ban_Desc,无法安装芯片
@Chip.FireSpeed_Desc,攻速+{0}%
@Chip.Damage_Desc,攻击力+{0}%
@Chip.Strength_Desc,最大生命值+{0}%
@Chip.Range_Desc,射程+{0}%
@Chip.Enlarge_Desc,子弹体积+{0}%，攻击力+{1}%
@Chip.FireSpeedZ_Desc,攻速+{0}%，攻击力-{1}%
@Chip.DamageZ_Desc,攻击力+{0}%，射程-{1}%
@Chip.RangeZ_Desc,射程+{0}%，攻速-{1}%，攻击力+{2}%
@Chip.Pierce_Desc,子弹穿透力+{0}
@Chip.Blossom_Desc,攻击力-{1}%，每次射击额外发射{0}发子弹
@Chip.Frost_Desc,武器命中时有{0}%几率令目标攻击速度和移动速度下降，持续{3:H}秒
@Chip.Frost2_Desc,武器命中时有{0}%几率令目标攻击速度和移动速度下降，持续{3:H}秒，减速效果更强
